work_year,experience_level,employment_type,job,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_summary
2020,MI,FT,Data Scientist,Data Analyst,41000,EUR,46759,France,50,France,L,
2020,MI,FT,Data Scientist,Data Engineer,65000,EUR,74130,Austria,50,Austria,L,
2021,SE,FT,Data Scientist,Data Science Engineer,159500,CAD,127543,Canada,50,Canada,L,
2021,SE,FT,Data Scientist,Manager Data Science,144000,USD,144000,United States,100,United States,L,
2021,EN,FT,Data Scientist,Data Scientist,13400,USD,13400,Ukraine,100,Ukraine,L,
2021,MI,FT,Data Scientist,Data Scientist,95000,CAD,75966,Canada,100,Canada,L,
2021,MI,FT,Data Scientist,Data Scientist,150000,USD,150000,United States,100,United States,M,
2020,MI,FT,Data Scientist,Data Science Consultant,103000,USD,103000,United States,100,United States,L,
2021,SE,FT,Data Scientist,Data Engineering Manager,153000,USD,153000,United States,100,United States,L,
2021,MI,FT,Data Scientist,Data Engineer,90000,USD,90000,United States,100,United States,L,
2021,EN,FT,Data Scientist,Data Analyst,90000,USD,90000,United States,100,United States,S,
2021,EN,FT,Data Scientist,Data Analyst,60000,USD,60000,United States,100,United States,S,
2021,MI,FT,Data Scientist,Data Scientist,50000,USD,50000,Nigeria,100,Nigeria,L,
2021,EN,PT,Data Scientist,AI Scientist,12000,USD,12000,Pakistan,100,Pakistan,M,
2021,MI,PT,,3D Computer Vision Researcher,400000,INR,5423,India,50,India,M,
2021,MI,CT,Data Scientist,ML Engineer,270000,USD,270000,United States,100,United States,L,
2021,MI,FT,Mobile Developer,Applied Data Scientist,68000,CAD,54376,United Kingdom,50,United Kingdom,L,
2021,MI,FT,Data Scientist,Machine Learning Engineer,40000,EUR,47681,Spain,100,Spain,S,
2021,EX,FT,Data Scientist,Director of Data Science,130000,EUR,154963,Italy,100,Italy,L,
2021,MI,FT,Data Scientist,Data Engineer,110000,PLN,28801,Poland,100,Poland,L,
2021,MI,FT,Data Scientist,Data Analytics Engineer,110000,USD,110000,United States,100,United States,L,
2021,EN,FT,Data Scientist,Research Scientist,60000,GBP,83000,United Kingdom,50,United Kingdom,L,
2020,EN,FT,Data Scientist,Machine Learning Engineer,250000,USD,250000,United States,50,United States,L,
2021,EN,FT,Data Scientist,Data Analyst,50000,EUR,59601,France,50,France,M,
2021,SE,FT,Data Scientist,Data Analyst,80000,USD,80000,Bulgaria,100,Bulgaria,S,
2020,EN,FT,Data Scientist,Data Analyst,10000,USD,10000,Nigeria,100,Nigeria,S,
2020,EN,FT,Data Scientist,Machine Learning Engineer,138000,USD,138000,United States,100,United States,S,
2021,MI,FT,Data Scientist,Data Engineer,140000,USD,140000,United States,100,United States,L,
2021,SE,FT,Data Scientist,Data Analytics Engineer,67000,EUR,79866,Germany,100,Germany,L,
2021,SE,FT,Data Scientist,Lead Data Analyst,170000,USD,170000,United States,100,United States,L,
2021,EN,FT,Data Scientist,Data Analyst,80000,USD,80000,United States,100,United States,M,
2020,MI,FT,Data Scientist,Data Scientist,45760,USD,45760,,100,,S,
2021,MI,FT,Data Scientist,BI Data Analyst,100000,USD,100000,United States,100,United States,M,
2021,SE,FT,Data Scientist,Data Scientist,45000,EUR,53641,France,50,France,L,
2021,EX,FT,Data Scientist,Head of Data,235000,USD,235000,United States,100,United States,L,
2021,EX,FT,Data Scientist,BI Data Analyst,150000,USD,150000,India,100,India,L,
2020,EX,FT,Data Scientist,Data Engineering Manager,70000,EUR,79833,Spain,50,Spain,L,
2021,EN,FT,Data Scientist,Machine Learning Scientist,225000,USD,225000,United States,100,United States,L,
2021,EN,FT,Data Scientist,Data Science Consultant,65000,EUR,77481,Germany,100,Germany,S,
2020,MI,FT,Data Scientist,Machine Learning Infrastructure Engineer,44000,EUR,50180,Portugal,0,Portugal,M,
